NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
CHAC2,CHAC2,null,null,0.05307292
PHIP,PHIP,null,null,0.05294938
POLR2H,POLR2H,null,null,0.05294541
EMG1,EMG1,null,null,0.052895494
ARHGAP11A,ARHGAP11A,null,null,0.052882977
TTF1,TTF1,null,null,0.052849457
SKP1,SKP1,null,null,0.052825905
COQ2,COQ2,null,null,0.052783296
MRPL47,MRPL47,null,null,0.052765578
ZNF92,ZNF92,null,null,0.052755896
LPIN1,LPIN1,null,null,0.052750073
CYB5R4,CYB5R4,null,null,0.0527381
YIPF5,YIPF5,null,null,0.052687407
FAM161A,FAM161A,null,null,0.052630324
PTTG1,PTTG1,null,null,0.052621532
KIAA0753,KIAA0753,null,null,0.05260143
PIGK,PIGK,null,null,0.052450567
MTMR10,MTMR10,null,null,0.052400064
ATF2,ATF2,null,null,0.052362993
MED27,MED27,null,null,0.052341636
WDR70,WDR70,null,null,0.052286472
MPC1,MPC1,null,null,0.052280042
FAF2,FAF2,null,null,0.052241035
TNRC6C,TNRC6C,null,null,0.052201685
CRYZL1,CRYZL1,null,null,0.052177537
REXO2,REXO2,null,null,0.052159484
UBL5,UBL5,null,null,0.05214097
XRCC2,XRCC2,null,null,0.052135807
CWF19L1,CWF19L1,null,null,0.052121997
CHMP1B,CHMP1B,null,null,0.052067634
ATP5MG,ATP5MG,null,null,0.0520533
CENPC,CENPC,null,null,0.05202948
HUS1,HUS1,null,null,0.051982094
LYRM4,LYRM4,null,null,0.05191737
DDX3Y,DDX3Y,null,null,0.051904492
ACP1,ACP1,null,null,0.051869377
CDKAL1,CDKAL1,null,null,0.051768936
NAA20,NAA20,null,null,0.051766023
KLHL11,KLHL11,null,null,0.05169165
LIN7C,LIN7C,null,null,0.05167436
RARS,RARS,null,null,0.051658474
DHX40,DHX40,null,null,0.051631503
UFC1,UFC1,null,null,0.05159155
TAF11,TAF11,null,null,0.05155991
ARMC5,ARMC5,null,null,0.0514835
PTBP2,PTBP2,null,null,0.051479433
TIMM17A,TIMM17A,null,null,0.05144506
MRPL51,MRPL51,null,null,0.051434826
PLA2G15,PLA2G15,null,null,0.051398728
SAMHD1,SAMHD1,null,null,0.051395714
RICTOR,RICTOR,null,null,0.051346876
AP3S2,AP3S2,null,null,0.051322598
MICB,MICB,null,null,0.051315896
DNAJA1,DNAJA1,null,null,0.051250752
MTBP,MTBP,null,null,0.051216643
UTP20,UTP20,null,null,0.051149357
UQCRB,UQCRB,null,null,0.051120758
FKBP3,FKBP3,null,null,0.051080246
KNSTRN,KNSTRN,null,null,0.051018838
PLEKHB2,PLEKHB2,null,null,0.051009223
EPSTI1,EPSTI1,null,null,0.050994433
CEP135,CEP135,null,null,0.050968077
TSEN2,TSEN2,null,null,0.050946876
LSM11,LSM11,null,null,0.050905988
LCLAT1,LCLAT1,null,null,0.050895676
RRP9,RRP9,null,null,0.050894782
ZCCHC17,ZCCHC17,null,null,0.05082967
LRCH3,LRCH3,null,null,0.050795864
FGFR1OP,FGFR1OP,null,null,0.05078046
NDUFAF1,NDUFAF1,null,null,0.050747458
RSRP1,RSRP1,null,null,0.05066852
LATS1,LATS1,null,null,0.050555136
PHPT1,PHPT1,null,null,0.05055158
SPDL1,SPDL1,null,null,0.050526507
RUNDC1,RUNDC1,null,null,0.050522678
COX16,COX16,null,null,0.050511904
RABL3,RABL3,null,null,0.05051006
ZBTB18,ZBTB18,null,null,0.05050861
BRIX1,BRIX1,null,null,0.05049663
PDE4DIP,PDE4DIP,null,null,0.050492287
RBX1,RBX1,null,null,0.05038851
EIF5A,EIF5A,null,null,0.050385747
TIA1,TIA1,null,null,0.050348803
PRPF18,PRPF18,null,null,0.05034387
AK6,AK6,null,null,0.050332945
STAMBPL1,STAMBPL1,null,null,0.05032695
B4GALT5,B4GALT5,null,null,0.05024917
ZNF254,ZNF254,null,null,0.05024004
MRPL21,MRPL21,null,null,0.050174236
ALG13,ALG13,null,null,0.050160773
CCDC77,CCDC77,null,null,0.05015973
GOPC,GOPC,null,null,0.05015425
TMEM192,TMEM192,null,null,0.05014979
PSMA4,PSMA4,null,null,0.050063286
LYRM7,LYRM7,null,null,0.050048552
