NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
EFR3A,EFR3A,null,null,0.080070086
CCNQ,CCNQ,null,null,0.079990484
INTS6,INTS6,null,null,0.07997795
LNPEP,LNPEP,null,null,0.079956226
KIAA2013,KIAA2013,null,null,0.07992325
TOB1,TOB1,null,null,0.079874575
NT5C3A,NT5C3A,null,null,0.07985009
CAMSAP1,CAMSAP1,null,null,0.07984973
NPHP4,NPHP4,null,null,0.07983235
PEMT,PEMT,null,null,0.07980782
STRBP,STRBP,null,null,0.07953717
CCDC88C,CCDC88C,null,null,0.07947285
RPS12,RPS12,null,null,0.07945959
FAM117A,FAM117A,null,null,0.079449035
GAREM1,GAREM1,null,null,0.07938917
EVC,EVC,null,null,0.07930771
PNPLA6,PNPLA6,null,null,0.07917965
RUFY3,RUFY3,null,null,0.07912168
PANK1,PANK1,null,null,0.07903655
SLC20A2,SLC20A2,null,null,0.07900194
CARS2,CARS2,null,null,0.07886597
SMG7,SMG7,null,null,0.07886469
MET,MET,null,null,0.0788133
EAF1,EAF1,null,null,0.07861195
PRCP,PRCP,null,null,0.07852608
SYNJ1,SYNJ1,null,null,0.078504056
ZNF532,ZNF532,null,null,0.078487046
TGFB1,TGFB1,null,null,0.07848423
MOAP1,MOAP1,null,null,0.078481965
GNS,GNS,null,null,0.07837614
COX7A2L,COX7A2L,null,null,0.07835084
ABL1,ABL1,null,null,0.078339145
ZNF675,ZNF675,null,null,0.078324094
RPL22L1,RPL22L1,null,null,0.07829882
ZFP57,ZFP57,null,null,0.07828804
LPCAT4,LPCAT4,null,null,0.07828276
DGCR6L,DGCR6L,null,null,0.0782511
KLC2,KLC2,null,null,0.07824755
