"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"ARFIP2","P53365",0.0969464518705172,0.842,FALSE,-0.137,0.0686,-0.0686
"ARFRP1","B7ZKY8",0.0880155501235695,0.835,FALSE,-0.101,0.0507,-0.0507
"ARGLU1","Q9NWB6",0.204837248813635,0.887,FALSE,-0.0752,0.0376,-0.0376
"ARHGAP1","Q07960",0.536483665771231,0.923,FALSE,0.0383,-0.0192,0.0192
"ARHGAP15","Q53QZ3",0.323259594928101,0.906,FALSE,0.0395,-0.0197,0.0197
"ARHGAP17","Q68EM7-2",0.17772298227656,0.88,FALSE,0.0608,-0.0304,0.0304
"ARHGAP17.1","Q68EM7",0.225627205938976,0.891,FALSE,-0.0511,0.0256,-0.0256
"ARHGAP21","Q5T5U3",0.0160660557812133,0.569,FALSE,0.149,-0.0744,0.0744
"ARHGAP24","Q8N264",0.199084669019569,0.886,FALSE,-0.183,0.0915,-0.0915
"ARHGAP25","P42331-4",0.00439323409764336,0.229,FALSE,-0.193,0.0965,-0.0965
"ARHGAP27","E9PNT2",0.59283423767942,0.926,FALSE,-0.0225,0.0113,-0.0113
"ARHGAP30","Q7Z6I6",0.239328919826424,0.894,FALSE,-0.0493,0.0247,-0.0247
"ARHGAP35","Q9NRY4",0.267213874729247,0.899,FALSE,0.0538,-0.0269,0.0269
"ARHGAP4","P98171-2",0.939876248538931,0.938,FALSE,-0.00345,0.00172,-0.00172
"ARHGDIA","P52565",0.00412181040352625,0.213,FALSE,0.214,-0.107,0.107
"ARHGDIB","P52566",0.0063638099124118,0.318,FALSE,0.188,-0.0942,0.0942
"ARHGEF1","M0QZR4",0.00726999152289358,0.348,FALSE,-0.167,0.0835,-0.0835
"ARHGEF12","Q9NZN5",0.0147495482048674,0.546,FALSE,-0.201,0.101,-0.101
"ARHGEF18","Q6ZSZ5",0.560166113698225,0.924,FALSE,-0.065,0.0325,-0.0325
"ARHGEF2","V9GYM8",0.477725344496592,0.919,FALSE,-0.0271,0.0136,-0.0136
