Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,ctl_centered,ctl_1,ctl_2,sh_centered,sh_1,sh_2
COX2.2,A0A059QFD5,NA,0.023658738211911546,0.659,0.181,FALSE,Stable,-0.0903,9.719015068717558,9.794627266927568,0.0903,9.89286079902442,9.981799023253407
HNRNPU.1,Q00839,3192,0.023668922265374644,0.659,-0.148,FALSE,Stable,0.0741,16.3014133263726,16.227793440715548,-0.0741,16.106953148326163,16.125924196519694
PSMA6,P60900,NA,0.023687716829678306,0.659,-0.119,FALSE,Stable,0.0596,14.500882074891134,14.496781827073843,-0.0596,14.38300375623238,14.376277880624782
TPMT,P51580,7172,0.023696740487725427,0.659,0.154,FALSE,Stable,-0.0771,10.898833229327629,10.983257163604717,0.0771,11.095340904278455,11.095036704363713
TRAF4,Q9BUZ4,9618,0.02371409495764161,0.659,-0.16,FALSE,Stable,0.08,9.5110185350265,9.41983652947066,-0.08,9.312334980294015,9.29842000587841
MYL12A,J3QRS3,10627,0.023848069791574174,0.66,0.229,FALSE,Stable,-0.114,13.713526108525427,13.88105775731031,0.114,14.0362955127984,14.016228559111843
O60250,O60250,NA,0.0238250038116218,0.66,-0.198,FALSE,Stable,0.099,12.54161193633284,12.639891312056287,-0.099,12.440148423173131,12.34548323621496
SUZ12,Q15022,23512,0.02378007934277646,0.66,-0.34,FALSE,Stable,0.17,12.087186383896633,11.813217066065596,-0.17,11.602580278036113,11.61751583938809
LMO7,Q8WWI1,NA,0.023893341334872652,0.661,0.147,FALSE,Stable,-0.0735,13.002559336448082,13.033447541876262,0.0735,13.199243359363068,13.13087304560193
SPCS1,Q9Y6A9,NA,0.02399121773450264,0.661,0.284,FALSE,Stable,-0.142,10.267740406330235,10.467165714394339,0.142,10.601788535275524,10.701269293351286
01-Sep,J3KNL2,1731,0.024058649729937525,0.662,-0.135,FALSE,Stable,0.0674,12.799077848184506,12.748059206218013,-0.0674,12.650018674243762,12.62768440493772
OSBP2,Q969R2,NA,0.02406968284669473,0.662,-0.123,FALSE,Stable,0.0613,10.087787080970601,10.074257363820339,-0.0613,9.970538062780216,9.94650142815077
CDKN2A.1,Q8N726,1029,0.024209776118089114,0.663,0.129,FALSE,Stable,-0.0643,9.030992976709184,9.025173939181117,0.0643,9.17848872269604,9.134818790401678
HSPA9,P38646,3313,0.024119270160501267,0.663,-0.161,FALSE,Stable,0.0803,16.442259296779277,16.350149753795606,-0.0803,16.226397769480744,16.24487742575462
PIK3C2A,O00443,5286,0.02420257135906403,0.663,0.146,FALSE,Stable,-0.0731,11.44221964884229,11.515054669709444,0.0731,11.633310336609503,11.616548160670652
AIMP2.1,Q13155,NA,0.024294533202767903,0.664,-0.13,FALSE,Stable,0.0652,12.549101980009835,12.597141835662464,-0.0652,12.4450806498827,12.440278729842557
B2RD19,B2RD19,NA,0.024281267760400647,0.664,0.156,FALSE,Stable,-0.0782,9.394848196752259,9.483593824948347,0.0782,9.5925246042726,9.598731682313607
DENND4A,A0A0U1RR27,10260,0.024297192654573186,0.664,0.123,FALSE,Stable,-0.0615,12.042243078013744,12.06689565072919,0.0615,12.168818631002745,12.186283821906366
EEF1A,Q14222,NA,0.024293090356721225,0.664,-0.131,FALSE,Stable,0.0656,14.044489166656867,14.040653419871797,-0.0656,13.936193767683497,13.886717519099012
TTC7A,Q9ULT0,57217,0.024350448838242812,0.664,-0.125,FALSE,Stable,0.0624,10.027983535662216,10.063387050593583,-0.0624,9.922087267719164,9.919763518082192
UMPS,P11172,7372,0.02426360334232753,0.664,-0.126,FALSE,Stable,0.0631,13.1859074682634,13.222394336901587,-0.0631,13.084646558041982,13.07116730837478
MRI1,Q9BV20,84245,0.024410144248498036,0.665,0.194,FALSE,Stable,-0.0969,12.453036258807346,12.515587419759518,0.0969,12.619100771958074,12.73697633189972
PGM1,P36871,5236,0.024392651780696873,0.665,0.138,FALSE,Stable,-0.069,14.329274352161494,14.27361261556013,0.069,14.45368948584434,14.42533315405446
RASSF2,P50749,9770,0.024395901081774068,0.665,-0.172,FALSE,Stable,0.0858,10.8533472185933,10.754254064213526,-0.0858,10.610360386735739,10.653986853907444
TCF3,P15923,6929,0.024430067838907926,0.665,-0.268,FALSE,Stable,0.134,11.539510829715654,11.331026259610917,-0.134,11.171661993845373,11.163422238625296
IMPACT,A0A024RC24,NA,0.024516389551462035,0.666,-0.133,FALSE,Stable,0.0666,9.709143426849517,9.655812861452668,-0.0666,9.5545606920187,9.54391941386851
ITGB1,P05556,3688,0.024525687992414072,0.666,-0.142,FALSE,Stable,0.0709,10.865644063420042,10.878793270759251,-0.0709,10.696716238073249,10.76420992941068
ACSF2,Q96CM8,80221,0.024693062976050822,0.667,0.226,FALSE,Stable,-0.113,11.319984075735796,11.373627966198837,0.113,11.493133924618288,11.65249354574889
C19orf53,Q9UNZ5,28974,0.02470877775258233,0.667,-0.263,FALSE,Stable,0.131,10.060612586513832,9.856181463897753,-0.131,9.692346776535347,9.699264592615783
CSTF1,Q05048,1477,0.024687830811921524,0.667,-0.129,FALSE,Stable,0.0646,12.205858539249446,12.173815501701963,-0.0646,12.077814107392227,12.04359149069745
FLAD1,Q8NFF5,80308,0.02464964951225256,0.667,-0.194,FALSE,Stable,0.0968,11.799363735875668,11.677086177867185,-0.0968,11.517212139261542,11.571957472629796
mkl1,W0Z7M9,57591,0.024638517275876022,0.667,0.143,FALSE,Stable,-0.0716,8.837143658185433,8.871630714660332,0.0716,9.028832696182143,8.96639559671809
RCC1,P18754,1104,0.02472122480829561,0.667,0.141,FALSE,Stable,-0.0707,13.231639445894277,13.252599035083485,0.0707,13.416196741135124,13.350781803970886
AP1S1,P61966,NA,0.024748765233593487,0.668,-0.277,FALSE,Stable,0.139,10.290868938038209,10.071913955999047,-0.139,9.90544073809327,9.902590731670447
