,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name,ensembl
ENSG00000175662,433.499794392361,-0.0080332517365596,0.172892524598523,-0.0464638465729723,0.962940549203786,0.989782982733297,TOM1L2,ENSG00000175662
ENSG00000176715,3299.94970554871,0.0072124276979193,0.155999876515586,0.0462335474810372,0.963124104030885,0.989833618294408,ACSF3,ENSG00000176715
ENSG00000082068,407.600441684342,-0.00593198790931505,0.128562265595916,-0.0461409720948747,0.96319788975802,0.989833618294408,WDR70,ENSG00000082068
ENSG00000099942,4148.48863533895,-0.00506461159562716,0.109901227354481,-0.0460833033219139,0.963243853888176,0.989833618294408,CRKL,ENSG00000099942
ENSG00000139350,1324.56651064617,0.0055048783347326,0.119855170303768,0.0459294189877726,0.963366505951932,0.989872634324203,NEDD1,ENSG00000139350
ENSG00000065600,403.621826345419,-0.00724259672959651,0.159275325596102,-0.0454721828537499,0.963730946823057,0.990160063058338,TMEM206,ENSG00000065600
ENSG00000257342,980.157565816814,-0.00888136533839921,0.196395805163943,-0.0452217669872604,0.963930544449547,0.990278092289572,AC025165.2,ENSG00000257342
ENSG00000149932,607.172447364154,-0.00761513354793676,0.169748718604623,-0.0448612137430849,0.964217932649591,0.990486283042541,TMEM219,ENSG00000149932
ENSG00000002919,1138.99873869585,0.00617193119215727,0.137970538957474,0.0447336890816932,0.964319580562672,0.990503653532256,SNX11,ENSG00000002919
ENSG00000117222,1677.84672606341,0.00527124477553787,0.118270753128078,0.0445693008298468,0.964450612722444,0.990551200431653,RBBP5,ENSG00000117222
ENSG00000123444,1094.19117454538,-0.00552249795435524,0.1242220576876,-0.0444566613784766,0.964540397007968,0.990556378547368,KBTBD4,ENSG00000123444
ENSG00000141480,860.533889577247,0.00463957780158249,0.104976609577162,0.0441963006832702,0.964747930801115,0.990615010768707,ARRB2,ENSG00000141480
ENSG00000100749,1993.07133468102,-0.00634426460105539,0.143625092380431,-0.0441723970088099,0.964766984565913,0.990615010768707,VRK1,ENSG00000100749
ENSG00000163159,1049.54980197991,-0.00413078764292439,0.0942523088975933,-0.0438269119477228,0.965042375057903,0.99076235039052,VPS72,ENSG00000163159
ENSG00000137764,429.613038220661,0.006945600343152,0.158892490370718,0.043712577774739,0.96513351318664,0.99076235039052,MAP2K5,ENSG00000137764
ENSG00000188647,2438.5427635851,0.0057303231774445,0.131336546308854,0.0436308349693385,0.965198672343015,0.99076235039052,PTAR1,ENSG00000188647
ENSG00000067082,974.77606949471,-0.00471618339240925,0.108325182984287,-0.0435372760283578,0.965273250710462,0.99076235039052,KLF6,ENSG00000067082
